"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171226,2017-12-26,001602,CBT ,00,001 ,  622514,  123807,  111001,  104449,    4813,   23453,   86886,  232621,   60426,   56257,   23238,  119721,  574998,  575273,   47516,   47241,  449161,  106928,   58392,   63815,    7544,    9563,   84533,  212493,   35326,   43112,   22765,   69836,  413112,  415919,   36049,   33242,  173353,   16879,   52609,   43365,       0,   11159,   18730,   36505,    8722,   25281,   12609,   37749,  161886,  159354,   11467,   13999,  -29812,   -4662,     332,    -157,      43,   -2589,   -3136,  -10979,   -4048,   -3077,   -1868,  -11116,  -28785,  -30226,   -1027,     414,  100.0,   19.9,   17.8,   16.8,    0.8,    3.8,   14.0,   37.4,    9.7,    9.0,    3.7,   19.2,   92.4,   92.4,    7.6,    7.6,  100.0,   23.8,   13.0,   14.2,    1.7,    2.1,   18.8,   47.3,    7.9,    9.6,    5.1,   15.5,   92.0,   92.6,    8.0,    7.4,  100.0,    9.7,   30.3,   25.0,    0.0,    6.4,   10.8,   21.1,    5.0,   14.6,    7.3,   21.8,   93.4,   91.9,    6.6,    8.1,    455,     91,     91,     22,.,     16,     44,    101,     56,     85,     64,     96,    338,    348,    433,     87,     86,     19,      6,     12,     48,     88,     42,     94,     53,     84,    308,    319,    242,     38,     70,     21,      0,     15,     22,     37,     12,     33,     46,     48,    154,    192,    14.8,     8.0,    22.5,    14.9,    11.6,     7.2,    17.2,    13.2,    16.3,    10.2,    23.2,    18.8,    15.2,     9.6,    21.1,    18.0,    19.3,    16.5,    31.6,    27.1,    15.1,    12.9,    24.4,    21.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171219,2017-12-19,001602,CBT ,00,001 ,  652326,  128468,  110670,  104606,    4770,   26042,   90022,  243599,   64474,   59334,   25106,  130837,  603784,  605499,   48543,   46828,  480317,  111530,   58483,   64830,    8244,   11806,   85831,  221063,   41192,   44689,   23726,   83071,  442948,  447585,   37369,   32732,  172010,   16939,   52187,   43250,       0,   10762,   20002,   38347,    7470,   25183,   11918,   37229,  160835,  157914,   11174,   14096,    7978,    2393,     837,     -86,    -378,    2781,    3856,    -218,    -377,   -5289,     257,    5382,    8660,    8285,    -683,    -307,  100.0,   19.7,   17.0,   16.0,    0.7,    4.0,   13.8,   37.3,    9.9,    9.1,    3.8,   20.1,   92.6,   92.8,    7.4,    7.2,  100.0,   23.2,   12.2,   13.5,    1.7,    2.5,   17.9,   46.0,    8.6,    9.3,    4.9,   17.3,   92.2,   93.2,    7.8,    6.8,  100.0,    9.8,   30.3,   25.1,    0.0,    6.3,   11.6,   22.3,    4.3,   14.6,    6.9,   21.6,   93.5,   91.8,    6.5,    8.2,    475,     91,     91,     22,.,     16,     45,    105,     58,    102,     66,    105,    352,    365,    454,     86,     84,     19,      6,     12,     45,     98,     46,    106,     57,     89,    319,    336,    237,     41,     68,     21,      0,     14,     22,     33,     11,     34,     46,     48,    154,    187,    14.9,     7.7,    22.4,    14.4,    11.3,     6.9,    16.9,    12.8,    15.9,     9.6,    23.3,    17.8,    14.7,     9.1,    20.4,    17.1,    19.4,    17.0,    32.1,    27.6,    14.9,    13.4,    25.3,    21.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171212,2017-12-12,001602,CBT ,00,001 ,  644349,  126075,  109832,  104692,    5148,   23261,   86166,  243818,   64851,   64623,   24849,  125455,  595123,  597214,   49225,   47134,  476980,  109185,   58694,   63964,    7481,   10709,   84782,  225806,   40461,   51112,   21940,   78312,  438526,  443403,   38455,   33577,  167368,   16890,   51138,   43107,      46,   10173,   20563,   37191,    5211,   24518,   13917,   36136,  156598,  153811,   10771,   13558,   62947,   25868,   -2572,     933,    2242,     275,   -7505,   31365,    9854,    6254,   -2016,   22635,   58313,   61783,    4635,    1164,  100.0,   19.6,   17.0,   16.2,    0.8,    3.6,   13.4,   37.8,   10.1,   10.0,    3.9,   19.5,   92.4,   92.7,    7.6,    7.3,  100.0,   22.9,   12.3,   13.4,    1.6,    2.2,   17.8,   47.3,    8.5,   10.7,    4.6,   16.4,   91.9,   93.0,    8.1,    7.0,  100.0,   10.1,   30.6,   25.8,    0.0,    6.1,   12.3,   22.2,    3.1,   14.6,    8.3,   21.6,   93.6,   91.9,    6.4,    8.1,    467,     91,     88,     21,      5,     19,     44,    106,     53,    104,     62,     96,    341,    358,    446,     86,     82,     19,      7,     12,     43,    101,     42,    111,     49,     83,    312,    327,    232,     42,     67,     21,.,     15,     20,     30,     11,     31,     48,     45,    151,    183,    14.7,     7.7,    21.9,    14.5,    11.3,     7.0,    16.4,    12.9,    15.9,     9.8,    23.1,    17.9,    14.0,     9.2,    19.7,    17.0,    20.9,    16.6,    34.1,    27.4,    16.7,    13.1,    28.0,    21.4,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171205,2017-12-05,001602,CBT ,00,001 ,  581401,  100207,  112404,  103759,    2906,   22986,   93671,  212452,   54997,   58369,   26865,  102820,  536810,  535431,   44591,   45970,  427164,   84079,   65144,   69150,    6089,   10298,   92693,  196056,   33968,   45049,   26335,   56743,  391980,  394633,   35184,   32531,  154237,   16128,   47260,   37793,       1,    9504,   18757,   34175,    3251,   24713,   11923,   34684,  144830,  140798,    9407,   13440,  -16995,  -13540,   -7258,    1561,   -1651,    4486,    -100,   -4093,     -14,   -1302,   -2836,   -3662,  -12570,  -15028,   -4424,   -1967,  100.0,   17.2,   19.3,   17.8,    0.5,    4.0,   16.1,   36.5,    9.5,   10.0,    4.6,   17.7,   92.3,   92.1,    7.7,    7.9,  100.0,   19.7,   15.3,   16.2,    1.4,    2.4,   21.7,   45.9,    8.0,   10.5,    6.2,   13.3,   91.8,   92.4,    8.2,    7.6,  100.0,   10.5,   30.6,   24.5,    0.0,    6.2,   12.2,   22.2,    2.1,   16.0,    7.7,   22.5,   93.9,   91.3,    6.1,    8.7,    439,     81,     88,     22,      4,     17,     49,     90,     52,     83,     73,     94,    321,    341,    419,     76,     86,     19,      7,     12,     49,     85,     43,     87,     61,     81,    292,    318,    223,     36,     64,     22,.,     13,     20,     25,     10,     37,     42,     48,    145,    176,    14.9,     8.0,    22.5,    15.3,    11.7,     7.6,    17.3,    14.1,    17.0,    10.4,    25.4,    19.6,    15.5,     9.9,    22.3,    18.8,    20.3,    16.3,    33.5,    27.2,    17.5,    13.0,    26.7,    22.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171128,2017-11-28,001602,CBT ,00,001 ,  598396,  113747,  119662,  102199,    4557,   18500,   93771,  216545,   55011,   59671,   29701,  106482,  549381,  550459,   49015,   47937,  450234,   98870,   70840,   67374,    6815,    9579,   92303,  202916,   34541,   46599,   28895,   61071,  410337,  414658,   39896,   35576,  148162,   14878,   48822,   37497,     414,    6248,   19538,   31700,    2399,   26051,   13786,   32432,  139043,  135801,    9119,   12361,  -98651,   -9575,  -20109,    1597,    1802,  -15112,    -481,   13628,  -17917,    3355,    1016,  -60762,  -98895,  -97454,     244,   -1197,  100.0,   19.0,   20.0,   17.1,    0.8,    3.1,   15.7,   36.2,    9.2,   10.0,    5.0,   17.8,   91.8,   92.0,    8.2,    8.0,  100.0,   22.0,   15.7,   15.0,    1.5,    2.1,   20.5,   45.1,    7.7,   10.4,    6.4,   13.6,   91.1,   92.1,    8.9,    7.9,  100.0,   10.0,   33.0,   25.3,    0.3,    4.2,   13.2,   21.4,    1.6,   17.6,    9.3,   21.9,   93.8,   91.7,    6.2,    8.3,    463,     83,     88,     21,      5,     17,     49,     96,     57,     92,     70,    108,    345,    361,    444,     79,     82,     20,      6,     13,     48,     91,     48,    102,     59,     94,    318,    336,    234,     37,     67,     21,.,     13,     22,     24,     11,     32,     53,     49,    151,    184,    15.0,     7.8,    22.3,    14.8,    11.6,     7.3,    17.1,    13.6,    17.5,     9.9,    25.3,    18.6,    15.6,     9.5,    22.0,    17.8,    21.8,    17.8,    34.8,    29.3,    19.8,    13.7,    29.5,    23.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171121,2017-11-21,001602,CBT ,00,001 ,  697047,  123322,  139771,  100602,    2755,   33612,   94251,  202917,   72928,   56316,   28685,  167244,  648276,  647913,   48771,   49134,  554860,  111584,   92866,   67216,    5547,   23233,   90540,  189026,   54286,   44742,   30017,  123174,  514774,  518148,   40086,   36712,  142187,   11738,   46905,   36595,     417,    7171,   18478,   28658,    3875,   25530,   12624,   30114,  133502,  129764,    8685,   12423,   -6991,   -3719,   -3543,   -1106,   -1076,     160,    2227,    2316,   -5508,     533,     272,     529,   -6883,   -6849,    -108,    -141,  100.0,   17.7,   20.1,   14.4,    0.4,    4.8,   13.5,   29.1,   10.5,    8.1,    4.1,   24.0,   93.0,   93.0,    7.0,    7.0,  100.0,   20.1,   16.7,   12.1,    1.0,    4.2,   16.3,   34.1,    9.8,    8.1,    5.4,   22.2,   92.8,   93.4,    7.2,    6.6,  100.0,    8.3,   33.0,   25.7,    0.3,    5.0,   13.0,   20.2,    2.7,   18.0,    8.9,   21.2,   93.9,   91.3,    6.1,    8.7,    453,     88,     94,     20,      5,     16,     50,     84,     59,     80,     84,    114,    354,    357,    435,     87,     90,     17,      8,     16,     48,     81,     51,     93,     68,    103,    335,    337,    230,     34,     64,     20,.,     12,     23,     22,     10,     31,     55,     50,    147,    180,    14.0,     8.3,    21.2,    14.7,     9.7,     6.3,    14.5,    11.3,    14.9,     8.9,    23.3,    16.6,    12.3,     7.7,    17.5,    14.0,    22.6,    17.5,    35.7,    28.6,    20.5,    14.4,    30.0,    23.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171114,2017-11-14,001602,CBT ,00,001 ,  704038,  127041,  143314,  101708,    3831,   33451,   92025,  200601,   78436,   55783,   28413,  166715,  655159,  654762,   48879,   49276,  563689,  115160,   95798,   68272,    6050,   25314,   89803,  189831,   57894,   45864,   30532,  120985,  523292,  526404,   40396,   37285,  140349,   11881,   47517,   36816,    1162,    4757,   18970,   27519,    3793,   24913,   12875,   30736,  131866,  128358,    8483,   11990,   -4464,  -18493,    1765,    4217,   -1457,     708,    6408,  -10101,     -52,   -1556,     107,    5699,   -3069,   -3331,   -1395,   -1133,  100.0,   18.0,   20.4,   14.4,    0.5,    4.8,   13.1,   28.5,   11.1,    7.9,    4.0,   23.7,   93.1,   93.0,    6.9,    7.0,  100.0,   20.4,   17.0,   12.1,    1.1,    4.5,   15.9,   33.7,   10.3,    8.1,    5.4,   21.5,   92.8,   93.4,    7.2,    6.6,  100.0,    8.5,   33.9,   26.2,    0.8,    3.4,   13.5,   19.6,    2.7,   17.8,    9.2,   21.9,   94.0,   91.5,    6.0,    8.5,    461,     89,     95,     22,      5,     18,     51,     83,     61,     89,     76,    114,    358,    367,    447,     88,     90,     20,      7,     17,     49,     82,     51,     99,     68,    107,    339,    351,    224,     33,     65,     20,      4,     13,     22,     19,      9,     26,     54,     47,    143,    175,    13.3,     8.3,    21.0,    14.6,     9.5,     6.1,    14.3,    11.1,    14.6,     8.4,    22.5,    15.5,    11.7,     7.6,    16.9,    13.6,    23.1,    18.4,    36.8,    31.3,    21.4,    15.9,    32.1,    24.2,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171107,2017-11-07,001602,CBT ,00,001 ,  708502,  145534,  141550,   97491,    5289,   32743,   85617,  210702,   78489,   57339,   28306,  161016,  658228,  658093,   50274,   50409,  575885,  133986,   94476,   65808,    8987,   22918,   82262,  198822,   60330,   45468,   28782,  123058,  533830,  537373,   42056,   38512,  132617,   11548,   47073,   36704,    1323,    4803,   17824,   26349,    3689,   21698,    9350,   28131,  124398,  120720,    8219,   11897,    5840,   16347,   10417,    7948,   -1935,  -12857,   -4576,    9634,   -1784,     425,   -1931,    3314,    8817,    4857,   -2977,     983,  100.0,   20.5,   20.0,   13.8,    0.7,    4.6,   12.1,   29.7,   11.1,    8.1,    4.0,   22.7,   92.9,   92.9,    7.1,    7.1,  100.0,   23.3,   16.4,   11.4,    1.6,    4.0,   14.3,   34.5,   10.5,    7.9,    5.0,   21.4,   92.7,   93.3,    7.3,    6.7,  100.0,    8.7,   35.5,   27.7,    1.0,    3.6,   13.4,   19.9,    2.8,   16.4,    7.1,   21.2,   93.8,   91.0,    6.2,    9.0,    466,     96,     97,     22,      5,     18,     45,     87,     62,     94,     69,    110,    363,    367,    455,     95,     91,     19,      8,     16,     44,     85,     54,    101,     62,    102,    347,    349,    215,     32,     64,     20,      4,     13,     21,     15,      9,     26,     51,     49,    139,    171,    13.6,     7.7,    20.9,    13.7,    10.1,     6.1,    15.1,    11.2,    13.6,     8.1,    21.5,    15.0,    12.0,     7.3,    17.5,    13.5,    24.1,    18.0,    38.0,    31.3,    22.2,    15.4,    33.4,    24.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171031,2017-10-31,001602,CBT ,00,001 ,  702662,  129187,  131133,   89542,    7223,   45600,   90193,  201068,   80273,   56913,   30237,  157702,  649411,  653236,   53251,   49426,  580142,  120589,   90375,   57142,   13217,   33164,   88310,  190816,   63783,   49904,   30002,  120604,  533496,  541961,   46646,   38181,  122521,    8598,   40758,   39717,    1323,    5120,   14673,   23043,    3699,   17202,   10427,   26906,  115915,  111276,    6606,   11245,   55453,   22378,     321,     753,    1069,    9745,   -3119,   23791,    7878,    4317,    7641,    6476,   48429,   56922,    7024,   -1469,  100.0,   18.4,   18.7,   12.7,    1.0,    6.5,   12.8,   28.6,   11.4,    8.1,    4.3,   22.4,   92.4,   93.0,    7.6,    7.0,  100.0,   20.8,   15.6,    9.8,    2.3,    5.7,   15.2,   32.9,   11.0,    8.6,    5.2,   20.8,   92.0,   93.4,    8.0,    6.6,  100.0,    7.0,   33.3,   32.4,    1.1,    4.2,   12.0,   18.8,    3.0,   14.0,    8.5,   22.0,   94.6,   90.8,    5.4,    9.2,    460,     96,     95,     22,      5,     18,     47,     85,     61,     93,     74,    105,    358,    358,    452,     95,     90,     19,      8,     18,     46,     85,     56,    108,     57,     96,    346,    344,    207,     28,     66,     20,      4,     13,     14,     15,      9,     23,     54,     48,    128,    171,    12.7,     7.6,    20.6,    13.6,     8.8,     6.1,    13.8,    11.0,    12.1,     8.2,    19.7,    15.1,     9.8,     7.1,    14.8,    13.0,    27.9,    19.1,    43.6,    30.6,    25.5,    15.3,    38.6,    23.6,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",171024,2017-10-24,001602,CBT ,00,001 ,  647209,  106809,  130812,   88789,    6154,   35855,   93312,  177277,   72395,   52596,   22596,  151225,  600982,  596314,   46227,   50895,  539209,   99838,   96293,   60745,    7659,   28098,   92088,  167834,   58473,   43285,   24006,  116487,  499015,  498850,   40194,   40360,  107999,    6971,   34519,   30808,    1260,    4993,   12893,   21113,    2252,   17032,    6311,   27018,  101967,   97465,    6033,   10535,   39129,   11260,   11514,    1405,   -1773,    6652,    -434,    5839,   10217,    2840,    -667,    6598,   38537,   38379,     592,     750,  100.0,   16.5,   20.2,   13.7,    1.0,    5.5,   14.4,   27.4,   11.2,    8.1,    3.5,   23.4,   92.9,   92.1,    7.1,    7.9,  100.0,   18.5,   17.9,   11.3,    1.4,    5.2,   17.1,   31.1,   10.8,    8.0,    4.5,   21.6,   92.5,   92.5,    7.5,    7.5,  100.0,    6.5,   32.0,   28.5,    1.2,    4.6,   11.9,   19.5,    2.1,   15.8,    5.8,   25.0,   94.4,   90.2,    5.6,    9.8,    446,     93,     93,     22,      4,     19,     56,     75,     63,     86,     76,    103,    359,    343,    438,     92,     89,     21,      5,     18,     53,     77,     55,     93,     66,     95,    346,    328,    202,     27,     66,     20,      4,     14,     16,     13,      8,     32,     42,     44,    125,    165,    11.5,     8.4,    19.3,    15.0,     8.3,     6.6,    13.8,    12.1,    11.2,     9.2,    19.1,    16.3,     9.1,     7.5,    14.8,    13.6,    24.6,    19.3,    43.3,    32.4,    24.0,    16.6,    34.7,    24.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
