grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Wheat,,Manitoba,0.6
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Wheat,,Saskatchewan,0.1
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Wheat,,Alberta,0.8
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Wheat,,British Columbia,0.2
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Barley,,Manitoba,0.4
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Barley,,Saskatchewan,3.7
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Barley,,Alberta,1.7
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Barley,,British Columbia,0.2
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Canola,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Canola,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Canola,,Alberta,0.3
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Canola,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Peas,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Peas,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Peas,,Alberta,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Peas,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Chick Peas,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Chick Peas,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Chick Peas,,Alberta,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Current Week,Chick Peas,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Wheat,,Manitoba,0.1
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Wheat,,Saskatchewan,1.9
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Wheat,,Alberta,1.8
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Wheat,,British Columbia,0.6
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Barley,,Manitoba,0.3
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Barley,,Saskatchewan,2.4
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Barley,,Alberta,3.5
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Barley,,British Columbia,0.1
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Chick Peas,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Chick Peas,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Chick Peas,,Alberta,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Chick Peas,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Canola,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Canola,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Canola,,Alberta,1.3
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Canola,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Peas,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Peas,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Peas,,Alberta,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Current Week,Peas,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Wheat,,Manitoba,0.6
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Wheat,,Saskatchewan,0.1
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Wheat,,Alberta,0.8
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Wheat,,British Columbia,0.2
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Barley,,Manitoba,0.4
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Barley,,Saskatchewan,3.7
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Barley,,Alberta,1.7
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Barley,,British Columbia,0.2
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Chick Peas,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Chick Peas,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Chick Peas,,Alberta,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Chick Peas,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Canola,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Canola,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Canola,,Alberta,0.3
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Canola,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Peas,,Manitoba,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Peas,,Saskatchewan,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Peas,,Alberta,0
1,2023-2024,06/08/2023,Feed Grains,Deliveries,Crop Year,Peas,,British Columbia,0
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Wheat,,Manitoba,0.1
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Wheat,,Saskatchewan,1.9
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Wheat,,Alberta,1.8
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Wheat,,British Columbia,0.6
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Barley,,Manitoba,0.3
1,2023-2024,06/08/2023,Feed Grains,Shipments,Crop Year,Barley,,Saskatchewan,2.4
