"Crop Year","Grain Week","Week Ending Date","worksheet","metric","period","grain","grade","Region","Ktonnes"
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Wheat",,"Manitoba",1.4
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Wheat",,"Saskatchewan",2.1
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Wheat",,"Alberta",0.1
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Wheat",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Barley",,"Manitoba",0.7
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Barley",,"Saskatchewan",10.8
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Barley",,"Alberta",9.9
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Barley",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Peas",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Peas",,"Alberta",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Chick Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Chick Peas",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Chick Peas",,"Alberta",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Current Week","Chick Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Wheat",,"Manitoba",2.1
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Wheat",,"Saskatchewan",0.1
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Wheat",,"Alberta",5.5
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Wheat",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Barley",,"Manitoba",0.3
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Barley",,"Saskatchewan",20.4
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Barley",,"Alberta",4.6
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Barley",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Chick Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Chick Peas",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Chick Peas",,"Alberta",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Chick Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Peas",,"Manitoba",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Peas",,"Saskatchewan",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Peas",,"Alberta",0
"2026-2027",1,"09/08/2026","Feed Grains","Shipments","Current Week","Peas",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Wheat",,"Manitoba",1.4
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Wheat",,"Saskatchewan",2.1
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Wheat",,"Alberta",0.1
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Wheat",,"British Columbia",0
"2026-2027",1,"09/08/2026","Feed Grains","Deliveries","Crop Year","Barley",,"Manitoba",0.7
