Date,Date_Str,Commodity_Norm,Crop_Year,Beginning Stocks,Production,Imports,Food,Industrial,FSR,Exports,Ending Stocks,Yield_BU_AC,Harvested_MLN_AC,Source,Data_Type,CHECK
1997-07-01,1997-07-01,Barley,1996,1740.0,15562.0,18.8,6.9,372.1,10015.0,4007.8,2919.0,,,CMFT_Engine,Balanced,-9.094947017729282e-13
1998-07-01,1998-07-01,Barley,1997,2919.0,13533.9,34.6,9.3,267.7,10972.2,2779.3,2459.0,,,CMFT_Engine,Balanced,-9.094947017729282e-13
1999-07-01,1999-07-01,Barley,1998,2459.0,12708.7,55.4,10.4,351.8,10425.900000000001,1698.0,2737.0,,,CMFT_Engine,Balanced,0.0
2000-07-01,2000-07-01,Barley,1999,2737.0,13196.0,33.1,8.2,384.7,10343.3,2391.9,2838.0,,,CMFT_Engine,Balanced,-4.547473508864641e-13
2001-07-01,2001-07-01,Barley,2000,2838.0,13228.6,39.7,8.3,349.6,10591.400000000001,2641.0,2516.0,,,CMFT_Engine,Balanced,0.0
2002-07-01,2002-07-01,Barley,2001,2516.0,10845.6,111.6,7.6,286.7,9361.7,1769.7,2047.5,,,CMFT_Engine,Balanced,-1.1368683772161603e-12
2003-07-01,2003-07-01,Barley,2002,2047.5,7467.7,258.8,6.1,311.5,7036.599999999999,945.0,1474.8,,,CMFT_Engine,Balanced,2.2737367544323206e-13
2004-07-01,2004-07-01,Barley,2003,1474.8,12164.2,35.5,9.0,277.9,8804.8,2480.8,2102.0,,,CMFT_Engine,Balanced,9.094947017729282e-13
2005-07-01,2005-07-01,Barley,2004,2102.0,12556.7,82.6,9.5,257.6,9175.9,1863.2,3435.1,,,CMFT_Engine,Balanced,1.3642420526593924e-12
2006-07-01,2006-07-01,Barley,2005,3435.1,11677.6,45.8,13.5,153.3,8727.900000000001,2975.1,3288.7,,,CMFT_Engine,Balanced,-4.547473508864641e-13
2007-07-01,2007-07-01,Barley,2006,3288.7,9573.1,43.6,21.5,169.8,9195.099999999999,2028.3,1490.7,,,CMFT_Engine,Balanced,1.8189894035458565e-12
2008-07-01,2008-07-01,Barley,2007,1490.7,10909.8,57.8,15.7,140.3,6822.699999999999,3911.2,1568.4,,,CMFT_Engine,Balanced,4.547473508864641e-13
2009-07-01,2009-07-01,Barley,2008,1568.4,11785.8,41.7,15.6,143.8,7874.199999999999,2398.7,2963.6,,,CMFT_Engine,Balanced,1.3642420526593924e-12
2010-07-01,2010-07-01,Barley,2009,2963.6,9528.2,42.4,10.1,125.0,7748.300000000001,2149.2,2501.6,,,CMFT_Engine,Balanced,-4.547473508864641e-13
2011-07-01,2011-07-01,Barley,2010,2501.6,7627.2,42.7,27.9,127.1,6497.9,2016.7,1501.9,,,CMFT_Engine,Balanced,2.2737367544323206e-13
2012-07-01,2012-07-01,Barley,2011,1501.9,7891.5,13.5,23.6,96.3,6033.0,2058.6,1195.4,,,CMFT_Engine,Balanced,0.0
2013-07-01,2013-07-01,Barley,2012,1195.4,8012.3,19.0,24.9,109.1,5925.000000000001,2184.3,983.4,,,CMFT_Engine,Balanced,-3.410605131648481e-13
2014-07-01,2014-07-01,Barley,2013,983.4,10281.6,9.0,23.9,90.2,6827.0,2390.9,1942.0,,,CMFT_Engine,Balanced,-4.547473508864641e-13
2015-07-01,2015-07-01,Barley,2014,1942.0,7116.8,136.1,18.4,160.7,5335.499999999999,2463.0,1217.3,,,CMFT_Engine,Balanced,2.2737367544323206e-13
