Crop_Year,Crop_Year_Label,Month,Month_Name,Imports_KMT,Exports_KMT,Anchor,Stock_KMT,Production_KMT,Planted_Area_MLN_AC,Harvested_Area_MLN_AC
2002,2002-03,1,Jan,26.642,291.912,,,,19.5012,15.9745
2002,2002-03,2,Feb,2.016,353.22,,,,19.5012,15.9745
2002,2002-03,3,Mar,2.774,397.448,MAR,8282.7,,19.5012,15.9745
2002,2002-03,4,Apr,1.3039999999999998,452.05,,,,19.5012,15.9745
2002,2002-03,5,May,2.3600000000000003,692.208,,,,19.5012,15.9745
2002,2002-03,6,Jun,0.968,511.644,,,,19.5012,15.9745
2002,2002-03,7,Jul,0.432,694.858,JUL,4106.5,,19.5012,15.9745
2002,2002-03,8,Aug,0.63,701.344,,,12084.4,19.5012,15.9745
2002,2002-03,9,Sep,30.128,487.3,,,,19.5012,15.9745
2002,2002-03,10,Oct,1.212,646.784,,,,19.5012,15.9745
2002,2002-03,11,Nov,36.936,412.44,,,,19.5012,15.9745
2002,2002-03,12,Dec,67.25,435.044,DEC,10313.2,,19.5012,15.9745
2003,2003-04,1,Jan,0.7,787.754,,,,19.7719,19.3261
2003,2003-04,2,Feb,0.96,718.62,,,,19.7719,19.3261
2003,2003-04,3,Mar,0.788,898.348,MAR,10566.7,,19.7719,19.3261
2003,2003-04,4,Apr,0.6920000000000001,991.4780000000001,,,,19.7719,19.3261
2003,2003-04,5,May,0.572,1396.122,,,,19.7719,19.3261
2003,2003-04,6,Jun,0.482,1380.392,,,,19.7719,19.3261
2003,2003-04,7,Jul,0.41600000000000004,858.434,JUL,4211.1,,19.7719,19.3261
2003,2003-04,8,Aug,1.624,701.158,,,18837.0,19.7719,19.3261
2003,2003-04,9,Sep,4.782,1093.95,,,,19.7719,19.3261
2003,2003-04,10,Oct,2.532,1201.09,,,,19.7719,19.3261
2003,2003-04,11,Nov,1.512,954.188,,,,19.7719,19.3261
2003,2003-04,12,Dec,1.252,1072.484,DEC,14294.6,,19.7719,19.3261
2004,2004-05,1,Jan,0.532,945.51,,,,19.1433,18.1311
2004,2004-05,2,Feb,0.368,1066.98,,,,19.1433,18.1311
2004,2004-05,3,Mar,0.6900000000000001,941.944,MAR,11198.0,,19.1433,18.1311
2004,2004-05,4,Apr,0.648,874.3100000000001,,,,19.1433,18.1311
2004,2004-05,5,May,0.6880000000000001,1014.712,,,,19.1433,18.1311
2004,2004-05,6,Jun,1.388,765.67,,,,19.1433,18.1311
2004,2004-05,7,Jul,0.932,863.402,JUL,5435.1,,19.1433,18.1311
2004,2004-05,8,Aug,1.868,1222.426,,,19994.1,19.1433,18.1311
2004,2004-05,9,Sep,2.498,773.544,,,,19.1433,18.1311
2004,2004-05,10,Oct,2.144,666.1999999999999,,,,19.1433,18.1311
2004,2004-05,11,Nov,0.9179999999999999,1037.526,,,,19.1433,18.1311
2004,2004-05,12,Dec,0.6,1158.662,DEC,15782.2,,19.1433,18.1311
2005,2005-06,1,Jan,1.438,812.806,,,,18.1559,17.6074
2005,2005-06,2,Feb,1.108,855.336,,,,18.1559,17.6074
2005,2005-06,3,Mar,1.262,907.23,MAR,13386.3,,18.1559,17.6074
2005,2005-06,4,Apr,0.992,1340.388,,,,18.1559,17.6074
2005,2005-06,5,May,1.1960000000000002,1440.598,,,,18.1559,17.6074
2005,2005-06,6,Jun,2.006,866.178,,,,18.1559,17.6074
2005,2005-06,7,Jul,2.218,1296.332,JUL,6424.1,,18.1559,17.6074
2005,2005-06,8,Aug,3.914,783.01,,,19833.5,18.1559,17.6074
2005,2005-06,9,Sep,3.2380000000000004,751.02,,,,18.1559,17.6074
2005,2005-06,10,Oct,2.64,914.162,,,,18.1559,17.6074
2005,2005-06,11,Nov,1.42,820.976,,,,18.1559,17.6074
2005,2005-06,12,Dec,1.3,706.172,DEC,17406.3,,18.1559,17.6074
2006,2006-07,1,Jan,1.9820000000000002,894.63,,,,20.549875,20.1745
2006,2006-07,2,Feb,1.5739999999999998,1017.052,,,,20.549875,20.1745
2006,2006-07,3,Mar,1.306,1029.12,MAR,12802.1,,20.549875,20.1745
2006,2006-07,4,Apr,1.5060000000000002,1199.298,,,,20.549875,20.1745
2006,2006-07,5,May,1.998,1302.562,,,,20.549875,20.1745
2006,2006-07,6,Jun,2.032,1408.052,,,,20.549875,20.1745
2006,2006-07,7,Jul,1.4899999999999998,1327.688,JUL,5608.2,,20.549875,20.1745
2006,2006-07,8,Aug,4.484,1256.282,,,21919.2,20.549875,20.1745
2006,2006-07,9,Sep,4.436,1324.462,,,,20.549875,20.1745
2006,2006-07,10,Oct,1.9580000000000002,1358.534,,,,20.549875,20.1745
2006,2006-07,11,Nov,0.982,1226.478,,,,20.549875,20.1745
2006,2006-07,12,Dec,1.026,1247.462,DEC,17500.7,,20.549875,20.1745
2007,2007-08,1,Jan,1.31,854.148,,,,16.9631,16.5812
2007,2007-08,2,Feb,0.964,812.04,,,,16.9631,16.5812
2007,2007-08,3,Mar,1.898,995.6959999999999,MAR,9535.7,,16.9631,16.5812
2007,2007-08,4,Apr,1.622,1071.748,,,,16.9631,16.5812
2007,2007-08,5,May,1.54,1338.21,,,,16.9631,16.5812
2007,2007-08,6,Jun,0.82,878.194,,,,16.9631,16.5812
2007,2007-08,7,Jul,1.434,1089.474,JUL,3557.4,,16.9631,16.5812
2007,2007-08,8,Aug,1.4100000000000001,1284.764,,,16409.0,16.9631,16.5812
2007,2007-08,9,Sep,4.254,1275.328,,,,16.9631,16.5812
2007,2007-08,10,Oct,2.034,1198.4080000000001,,,,16.9631,16.5812
2007,2007-08,11,Nov,1.966,982.3679999999999,,,,16.9631,16.5812
2007,2007-08,12,Dec,1.226,845.644,DEC,13333.7,,16.9631,16.5812
2008,2008-09,1,Jan,0.558,1435.994,,,,19.111,18.779
2008,2008-09,2,Feb,0.9380000000000001,1170.478,,,,19.111,18.779
2008,2008-09,3,Mar,1.15,1273.318,MAR,12730.2,,19.111,18.779
2008,2008-09,4,Apr,3.3579999999999997,1509.1979999999999,,,,19.111,18.779
2008,2008-09,5,May,4.032,1565.472,,,,19.111,18.779
2008,2008-09,6,Jun,1.046,1245.03,,,,19.111,18.779
2008,2008-09,7,Jul,1.3599999999999999,1215.312,JUL,4641.7,,19.111,18.779
2008,2008-09,8,Aug,3.174,950.918,,,23099.9,19.111,18.779
2008,2008-09,9,Sep,3.582,1054.0240000000001,,,,19.111,18.779
2008,2008-09,10,Oct,1.796,1142.656,,,,19.111,18.779
2008,2008-09,11,Nov,1.218,1270.242,,,,19.111,18.779
2008,2008-09,12,Dec,0.862,1123.01,DEC,17544.3,,19.111,18.779
2009,2009-10,1,Jan,3.536,1326.686,,,,19.2571,18.3619
2009,2009-10,2,Feb,3.226,1179.858,,,,19.2571,18.3619
2009,2009-10,3,Mar,3.4960000000000004,1368.798,MAR,12244.9,,19.2571,18.3619
2009,2009-10,4,Apr,2.918,1388.4,,,,19.2571,18.3619
2009,2009-10,5,May,2.266,1716.994,,,,19.2571,18.3619
2009,2009-10,6,Jun,3.064,1510.97,,,,19.2571,18.3619
2009,2009-10,7,Jul,5.76,1340.948,JUL,5049.0,,19.2571,18.3619
2009,2009-10,8,Aug,31.240000000000002,1469.288,,,21550.3,19.2571,18.3619
2009,2009-10,9,Sep,22.298000000000002,1123.17,,,,19.2571,18.3619
2009,2009-10,10,Oct,15.927999999999999,1239.336,,,,19.2571,18.3619
2009,2009-10,11,Nov,16.688,1244.4,,,,19.2571,18.3619
2009,2009-10,12,Dec,4.55,967.658,DEC,17048.9,,19.2571,18.3619
2010,2010-11,1,Jan,2.042,830.172,,,,17.9841,17.426
2010,2010-11,2,Feb,1.578,765.952,,,,17.9841,17.426
2010,2010-11,3,Mar,1.868,1120.886,MAR,12928.7,,17.9841,17.426
2010,2010-11,4,Apr,2.424,1267.722,,,,17.9841,17.426
2010,2010-11,5,May,2.2279999999999998,1326.548,,,,17.9841,17.426
2010,2010-11,6,Jun,1.954,1345.554,,,,17.9841,17.426
2010,2010-11,7,Jul,10.66,964.912,JUL,5793.7,,17.9841,17.426
2010,2010-11,8,Aug,1.884,1127.824,,,20274.9,17.9841,17.426
2010,2010-11,9,Sep,3.52,1044.008,,,,17.9841,17.426
2010,2010-11,10,Oct,0.804,1242.1,,,,17.9841,17.426
2010,2010-11,11,Nov,1.064,1047.298,,,,17.9841,17.426
2010,2010-11,12,Dec,1.496,1221.992,DEC,17015.7,,17.9841,17.426
2011,2011-12,1,Jan,1.51,967.217,,,,17.551812,17.2035
2011,2011-12,2,Feb,13.179,1109.288,,,,17.551812,17.2035
2011,2011-12,3,Mar,11.770999999999999,1326.3899999999999,MAR,11564.9,,17.551812,17.2035
2011,2011-12,4,Apr,3.335,1484.231,,,,17.551812,17.2035
2011,2011-12,5,May,1.912,1422.112,,,,17.551812,17.2035
2011,2011-12,6,Jun,10.802999999999999,839.678,,,,17.551812,17.2035
2011,2011-12,7,Jul,2.8850000000000002,844.53,JUL,4445.9,,17.551812,17.2035
2011,2011-12,8,Aug,2.866,1205.268,,,21115.9,17.551812,17.2035
2011,2011-12,9,Sep,3.582,1040.786,,,,17.551812,17.2035
2011,2011-12,10,Oct,1.594,1148.538,,,,17.551812,17.2035
2011,2011-12,11,Nov,6.024000000000001,1029.134,,,,17.551812,17.2035
2011,2011-12,12,Dec,1.648,1298.916,DEC,16836.0,,17.551812,17.2035
2012,2012-13,1,Jan,1.754,1298.5349999999999,,,,19.0678,18.8391
2012,2012-13,2,Feb,1.517,1101.5710000000001,,,,19.0678,18.8391
2012,2012-13,3,Mar,1.6480000000000001,1250.5159999999998,MAR,11715.8,,19.0678,18.8391
2012,2012-13,4,Apr,2.033,1320.83,,,,19.0678,18.8391
2012,2012-13,5,May,2.23,1439.526,,,,19.0678,18.8391
2012,2012-13,6,Jun,14.691,846.2,,,,19.0678,18.8391
2012,2012-13,7,Jul,2.6,1156.051,JUL,3985.3,,19.0678,18.8391
2012,2012-13,8,Aug,2.443,1270.791,,,22619.4,19.0678,18.8391
2012,2012-13,9,Sep,2.942,1190.805,,,,19.0678,18.8391
2012,2012-13,10,Oct,2.8040000000000003,1105.744,,,,19.0678,18.8391
2012,2012-13,11,Nov,1.954,1074.88,,,,19.0678,18.8391
2012,2012-13,12,Dec,1.423,1319.481,DEC,16904.1,,19.0678,18.8391
2013,2013-14,1,Jan,1.6769999999999998,1349.718,,,,21.2865,20.861
2013,2013-14,2,Feb,1.951,1299.82,,,,21.2865,20.861
2013,2013-14,3,Mar,5.3870000000000005,1263.3829999999998,MAR,18431.2,,21.2865,20.861
2013,2013-14,4,Apr,10.133,1456.8,,,,21.2865,20.861
2013,2013-14,5,May,3.839,2137.037,,,,21.2865,20.861
2013,2013-14,6,Jun,5.365,1674.239,,,,21.2865,20.861
2013,2013-14,7,Jul,4.453,1863.3619999999999,JUL,8658.6,,21.2865,20.861
2013,2013-14,8,Aug,2.737,1255.348,,,31084.6,21.2865,20.861
2013,2013-14,9,Sep,3.708,1338.953,,,,21.2865,20.861
2013,2013-14,10,Oct,1.9,1480.882,,,,21.2865,20.861
2013,2013-14,11,Nov,1.673,1628.411,,,,21.2865,20.861
2013,2013-14,12,Dec,7.161,1212.051,DEC,23799.3,,21.2865,20.861
2014,2014-15,1,Jan,6.596,1505.3319999999999,,,,19.6078,18.9173
2014,2014-15,2,Feb,4.436999999999999,1139.25,,,,19.6078,18.9173
2014,2014-15,3,Mar,8.407,1614.483,MAR,15435.7,,19.6078,18.9173
2014,2014-15,4,Apr,9.155000000000001,1119.224,,,,19.6078,18.9173
2014,2014-15,5,May,9.399000000000001,2158.329,,,,19.6078,18.9173
2014,2014-15,6,Jun,5.952999999999999,2037.508,,,,19.6078,18.9173
2014,2014-15,7,Jul,9.575,1548.224,JUL,6124.5,,19.6078,18.9173
2014,2014-15,8,Aug,5.306,2157.443,,,24249.4,19.6078,18.9173
2014,2014-15,9,Sep,5.875,1563.991,,,,19.6078,18.9173
2014,2014-15,10,Oct,1.679,1564.379,,,,19.6078,18.9173
2014,2014-15,11,Nov,8.366,1337.324,,,,19.6078,18.9173
2014,2014-15,12,Dec,78.819,907.454,DEC,21509.0,,19.6078,18.9173
2015,2015-16,1,Jan,5.611000000000001,1079.142,,,,18.3973,17.9002
2015,2015-16,2,Feb,5.879,1137.6680000000001,,,,18.3973,17.9002
2015,2015-16,3,Mar,4.582,1216.905,MAR,11674.5,,18.3973,17.9002
2015,2015-16,4,Apr,4.229,1838.233,,,,18.3973,17.9002
2015,2015-16,5,May,8.543,1231.529,,,,18.3973,17.9002
2015,2015-16,6,Jun,12.17,1362.863,,,,18.3973,17.9002
2015,2015-16,7,Jul,12.395,1498.433,JUL,4078.0,,18.3973,17.9002
2015,2015-16,8,Aug,11.954,2007.363,,,22258.7,18.3973,17.9002
2015,2015-16,9,Sep,5.832,1457.8319999999999,,,,18.3973,17.9002
2015,2015-16,10,Oct,14.055,1284.345,,,,18.3973,17.9002
2015,2015-16,11,Nov,5.23,1763.701,,,,18.3973,17.9002
2015,2015-16,12,Dec,5.234,1448.2559999999999,DEC,17199.4,,18.3973,17.9002
2016,2016-17,1,Jan,6.529,1011.527,,,,17.681097,16.4159
2016,2016-17,2,Feb,8.744,1026.32,,,,17.681097,16.4159
2016,2016-17,3,Mar,5.333,1268.587,MAR,13022.9,,17.681097,16.4159
2016,2016-17,4,Apr,6.193,1315.171,,,,17.681097,16.4159
2016,2016-17,5,May,3.793,1700.723,,,,17.681097,16.4159
2016,2016-17,6,Jun,14.290000000000001,1441.22,,,,17.681097,16.4159
2016,2016-17,7,Jul,3.5940000000000003,1464.307,JUL,5103.2,,17.681097,16.4159
2016,2016-17,8,Aug,10.642,1304.724,,,24378.1,17.681097,16.4159
2016,2016-17,9,Sep,11.547,1152.8799999999999,,,,17.681097,16.4159
2016,2016-17,10,Oct,14.898,1454.162,,,,17.681097,16.4159
2016,2016-17,11,Nov,9.639999999999999,1203.946,,,,17.681097,16.4159
2016,2016-17,12,Dec,9.19,1106.042,DEC,17973.5,,17.681097,16.4159
2017,2017-18,1,Jan,4.361,1741.699,,,,17.3463,17.0386
2017,2017-18,2,Feb,5.776,941.7629999999999,,,,17.3463,17.0386
2017,2017-18,3,Mar,8.224,1563.341,MAR,13692.1,,17.3463,17.0386
2017,2017-18,4,Apr,7.36,1518.084,,,,17.3463,17.0386
2017,2017-18,5,May,6.567,1886.572,,,,17.3463,17.0386
2017,2017-18,6,Jun,4.891,1303.4660000000001,,,,17.3463,17.0386
2017,2017-18,7,Jul,8.663,1238.537,JUL,5255.8,,17.3463,17.0386
2017,2017-18,8,Aug,7.99,1584.488,,,25415.1,17.3463,17.0386
2017,2017-18,9,Sep,7.753,1325.509,,,,17.3463,17.0386
2017,2017-18,10,Oct,5.423,1365.946,,,,17.3463,17.0386
2017,2017-18,11,Nov,5.939,1502.82,,,,17.3463,17.0386
2017,2017-18,12,Dec,3.1670000000000003,1231.941,DEC,19454.5,,17.3463,17.0386
2018,2018-19,1,Jan,2.883,1605.779,,,,18.7067,18.3487
2018,2018-19,2,Feb,3.516,1242.6000000000001,,,,18.7067,18.3487
2018,2018-19,3,Mar,7.0409999999999995,1479.349,MAR,13529.0,,18.7067,18.3487
2018,2018-19,4,Apr,5.1739999999999995,1941.366,,,,18.7067,18.3487
2018,2018-19,5,May,10.322999999999999,2044.611,,,,18.7067,18.3487
2018,2018-19,6,Jun,23.627000000000002,1496.638,,,,18.7067,18.3487
2018,2018-19,7,Jul,10.84,1297.052,JUL,4208.7,,18.7067,18.3487
2018,2018-19,8,Aug,8.835,1600.673,,,26567.1,18.7067,18.3487
2018,2018-19,9,Sep,7.276,1665.795,,,,18.7067,18.3487
2018,2018-19,10,Oct,7.2540000000000004,1779.625,,,,18.7067,18.3487
2018,2018-19,11,Nov,4.11,1746.837,,,,18.7067,18.3487
2018,2018-19,12,Dec,4.239,1684.484,DEC,19740.5,,18.7067,18.3487
2019,2019-20,1,Jan,18.628,1320.772,,,,20.1276,19.1602
2019,2019-20,2,Feb,20.891000000000002,1034.495,,,,20.1276,19.1602
2019,2019-20,3,Mar,24.907,1413.882,MAR,15476.8,,20.1276,19.1602
2019,2019-20,4,Apr,19.548000000000002,1636.673,,,,20.1276,19.1602
2019,2019-20,5,May,5.335,2336.3849999999998,,,,20.1276,19.1602
2019,2019-20,6,Jun,9.454,1737.028,,,,20.1276,19.1602
2019,2019-20,7,Jul,7.53,2197.321,JUL,4762.6,,20.1276,19.1602
2019,2019-20,8,Aug,17.968,1418.296,,,27652.8,20.1276,19.1602
2019,2019-20,9,Sep,14.672999999999998,1140.92,,,,20.1276,19.1602
2019,2019-20,10,Oct,12.225999999999999,1656.701,,,,20.1276,19.1602
2019,2019-20,11,Nov,12.520999999999999,1294.113,,,,20.1276,19.1602
2019,2019-20,12,Dec,14.956,1338.5,DEC,21164.3,,20.1276,19.1602
2020,2020-21,1,Jan,4.509,1981.942,,,,19.501,19.0832
2020,2020-21,2,Feb,5.962,1154.218,,,,19.501,19.0832
2020,2020-21,3,Mar,5.882,1892.352,MAR,13931.2,,19.501,19.0832
